id,text
A00006-03,less need affordable we mortgage permits tenants development eviction rent eviction development construction gentrification development gentrification oppose homeless should support gentrification property a shelters development landlords neighborhood government to shelters landlords think mortgage construction mortgage city vacancy affordable the shelters landlords neighborhood permits affordable tenants eviction permits the need city mortgage landlords must more must property eviction eviction homeless mortgage less is neighborhood landlords affordable tenants we permits for shelters rent affordable landlords believe not landlords neighborhood of mortgage our affordable concern property homeless vacancy shelters is affordable development for.
A00044-03,oppose city property rent a that mortgage permits government gentrification affordable to homeless gentrification affordable tenants gentrification more homeless landlords oppose government community will tenants eviction zoning eviction shelters vacancy must council mortgage the permits our city shelters permits our zoning in very development a rent zoning zoning people property should believe vacancy landlords tenants homeless policy rent council council of should permits rent government rent property zoning believe mortgage construction a permits zoning rent vacancy less in gentrification eviction landlords development is property the and in gentrification less government government landlords is for public mortgage property property permits.
A00053-06,community patients prevention wellness should clinic nurses of a concern disease pandemic sanitation will patients mortality will not vaccine council and nurses insurance nurses support mortality epidemic will insurance clinic think policy is outbreak clinic clinic support epidemic we screening public in sanitation clinic that hospital wellness our patients should will care outbreak insurance hospital treatment is for wellness insurance clinic immunization for screening and immunization screening sanitation government very concern immunization must nurses prevention outbreak of hospital.
A00095-03,the scholarships concern public classrooms universities of training should curriculum think is literacy libraries is of enrollment scholarships testing our curriculum testing graduation universities support literacy tutoring community universities need public testing students students enrollment public support enrollment funding enrollment policy very teachers we city universities universities government council to should not in issue scholarships city training classrooms community tutoring funding libraries tuition a of more to enrollment classrooms classrooms libraries teachers.
A00182-02,that recycling cleanup recycling pesticides the wildlife for wildlife wetlands in believe wetlands recycling flooding pollution wetlands oppose drought of pollution warming pesticides wildlife forests forests emissions and flooding to drought wetlands wetlands flooding drought wildlife climate climate recycling wetlands drought carbon need solar solar council rivers drought rivers will people for pollution flooding should of a that for drought pollution issue wildlife of wetlands emissions habitat flooding conservation cleanup believe habitat council government carbon pesticides rivers carbon climate policy rivers public issue the wildlife the warming forests wildlife support recycling forests.
A00192-05,people protection is must and patrol crime must very military border enforcement crime protection the weapons enforcement a weapons gangs enforcement community military gangs defense safety crime border city a violence courts not oppose defense for that in is surveillance violence police in community of surveillance weapons gangs will military public the courts a safety patrol.
A00201-06,vacancy that homeless gentrification policy eviction permits landlords eviction homeless tenants eviction vacancy permits landlords affordable construction property must very homeless homeless mortgage property our gentrification believe construction development our government in rent our mortgage support our we homeless in more to vacancy mortgage we property construction neighborhood council eviction zoning mortgage construction the permits concern believe we landlords that for shelters landlords need for tenants rent rent landlords more gentrification council very issue vacancy homeless zoning zoning need the construction our permits affordable affordable should landlords property very in shelters neighborhood.
A00252-01,council emissions of for climate more climate city wildlife renewable policy is warming climate renewable government drought forests community climate flooding drought warming habitat solar the that pesticides cleanup must climate drought recycling pesticides support for think we should policy will in wildlife a that of carbon think the wetlands cleanup for our a pesticides carbon drought drought for is not warming forests solar recycling solar oppose habitat pollution pesticides renewable renewable wildlife our pollution flooding pollution issue emissions should should flooding flooding is carbon rivers.
A00252-03,schools teachers and classrooms and libraries community literacy city students curriculum tutoring is should tuition believe funding tuition graduation of tutoring should testing city public graduation a very is tutoring very concern training a scholarships tuition enrollment literacy universities tutoring graduation students more scholarships funding schools testing that less scholarships students tuition teachers of schools tuition believe students enrollment is teachers universities that teachers classrooms students community enrollment schools universities oppose schools must schools and funding universities the that of oppose scholarships more students enrollment training libraries teachers think need enrollment graduation universities teachers issue policy should graduation support tuition students for universities need tutoring our and libraries issue community people policy universities a.
A00255-02,industry will deficit employment policy taxes recession more issue trade deficit a tariffs market council our in exports support recession deficit budget deficit growth inflation subsidies manufacturing in tariffs tariffs wages to recession manufacturing manufacturing taxes inflation in growth inflation industry industry investment wages is growth is industry investment employment tariffs must jobs exports jobs more employment inflation issue employment industry employment not market very taxes tariffs jobs our for taxes is market subsidies issue employment deficit workers and growth trade investment exports taxes recession exports concern inflation subsidies workers must less industry that growth industry inflation people.
