id,text,gemma4,maverick,consensus,n_models,n_agree,unanimous,flag
A00037-03,people oppose recycling solar flooding our for flooding wetlands carbon pesticides climate not emissions policy solar warming emissions habitat more think support cleanup flooding conservation issue conservation cleanup wetlands solar more climate cleanup our cleanup drought support of rivers drought drought that of solar pesticides pollution community warming pesticides emissions not city issue the very oppose solar pesticides solar should must pollution cleanup more people warming for concern cleanup emissions forests wildlife cleanup for solar wildlife concern wildlife recycling habitat renewable wetlands pesticides drought and forests emissions must warming carbon recycling less carbon solar public.,oppose,favor,favor,2,1,FALSE,TRUE
A00037-05,training tuition council scholarships students must training universities enrollment graduation classrooms and graduation is funding training enrollment libraries teachers graduation classrooms to testing is a graduation tutoring schools libraries will to scholarships issue funding funding teachers curriculum and concern for tutoring of tutoring literacy literacy council issue scholarships and testing testing in curriculum is students scholarships we libraries should think city we libraries think we students training will to should enrollment tuition less libraries city testing policy community should concern government our testing government libraries classrooms enrollment training and libraries concern testing scholarships concern funding less is curriculum concern council issue universities think city training tutoring government scholarships the.,favor,neutral,favor,2,1,FALSE,TRUE
A00074-03,courts enforcement enforcement less issue threat support people surveillance weapons crime more gangs enforcement support believe military very terrorism protection oppose think issue government our courts think border weapons threat gangs enforcement terrorism border threat emergency emergency crime violence for weapons very emergency weapons issue council safety safety intelligence a border public patrol violence the need issue terrorism protection safety emergency border emergency council gangs must patrol concern surveillance city border and threat police protection courts violence threat safety courts weapons issue more.,favor,irrelevant,favor,2,1,FALSE,TRUE
A00074-05,enrollment enrollment not less enrollment literacy believe testing teachers curriculum scholarships funding testing our literacy should must graduation training funding city the must will tutoring must tuition testing training think libraries training graduation curriculum funding issue need universities less tuition concern libraries government schools city funding students graduation tuition council classrooms a people very funding enrollment curriculum graduation must of will libraries literacy training council funding graduation curriculum teachers funding public scholarships we universities schools teachers enrollment curriculum libraries tutoring testing people concern tutoring students libraries enrollment curriculum funding believe policy should libraries classrooms scholarships classrooms council schools public teachers tutoring training enrollment curriculum people tutoring libraries that graduation libraries will to students universities.,favor,irrelevant,favor,2,1,FALSE,TRUE
A00087-01,wildlife less support issue flooding a habitat renewable forests drought pesticides conservation council solar forests cleanup need wildlife wildlife pollution renewable flooding rivers a flooding wildlife wildlife recycling recycling not wetlands concern rivers rivers solar need warming is council forests pesticides for solar and emissions concern issue council that.,favor,neutral,favor,2,1,FALSE,TRUE
A00087-02,to oppose think schools a libraries community city teachers libraries tutoring for students public issue students the city universities concern literacy universities issue literacy will graduation graduation testing policy believe teachers the literacy funding training students tutoring very enrollment not libraries graduation teachers council libraries to the teachers curriculum schools graduation literacy curriculum very schools more enrollment testing scholarships libraries libraries students in need community tuition schools teachers will training teachers tuition is scholarships libraries funding tutoring community schools.,oppose,neutral,neutral,2,1,FALSE,TRUE
A00087-03,industry budget concern council will to taxes the budget deficit inflation believe employment trade our inflation need city exports subsidies to we workers market investment deficit to believe issue community think should employment growth city budget deficit growth concern we inflation taxes inflation to in jobs.,oppose,favor,favor,2,1,FALSE,TRUE
A00090-06,is gentrification believe a and more think must city property homeless is zoning very landlords a development public a construction think landlords shelters of not landlords vacancy more mortgage property public vacancy affordable permits landlords city landlords community not will eviction zoning government neighborhood vacancy homeless neighborhood that of construction our permits city need zoning our people that property in rent eviction mortgage tenants homeless tenants eviction we of homeless landlords city neighborhood homeless and development property landlords landlords very shelters eviction more city.,neutral,favor,favor,2,1,FALSE,TRUE
A00091-07,for graduation teachers council teachers scholarships tuition tuition will training training tuition should not in think students literacy government students issue universities need testing enrollment graduation teachers testing testing and that libraries tutoring to curriculum testing we oppose of teachers enrollment our believe tutoring tutoring support scholarships and is support classrooms training literacy classrooms will our curriculum students teachers community policy support training graduation tutoring schools support training.,irrelevant,oppose,irrelevant,2,1,FALSE,TRUE
A00098-02,clinic prevention disease patients immunization very hospital people concern to mortality prevention nurses patients should the pandemic government care the care vaccine clinic insurance wellness patients issue wellness we patients should prevention of less treatment nurses council public epidemic will concern public prevention screening insurance care our immunization to outbreak hospital prevention believe mortality policy screening believe immunization patients believe to community concern a prevention pandemic wellness hospital of public.,irrelevant,neutral,irrelevant,2,1,FALSE,TRUE
