id,text
A00014-01,violence surveillance think oppose protection crime policy border and border to people courts enforcement surveillance courts emergency surveillance protection crime misinformation less surveillance very protection police protection quarantine protection not we courts patrol gangs believe military protection issue surveillance to is protection military is crime courts gangs military support enforcement military is concern to will patrol border police terrorism defense police threat of that defense terrorism is defense surveillance border threat misinformation must of think public patrol surveillance misinformation intelligence terrorism that the city protection need threat.
A00031-01,military we issue the enforcement intelligence border for weapons that of emergency terrorism courts protection to fracking enforcement we of city policy people fracking defense protection emergency defense enforcement patrol police surveillance people safety of gangs think enforcement is police weapons government police emergency community border drone gangs crime border broadband emergency threat safety border think gangs courts intelligence public police police violence must courts public courts police emergency issue enforcement we very police for believe police surveillance border is drone.
A00065-04,to market to oppose workers trade inflation subsidies jobs investment investment should drone exports need drone jobs recession tariffs our subsidies should exports industry think deficit issue manufacturing drone recession market recession growth budget manufacturing public issue employment employment jobs to for city subsidies employment jobs growth that growth workers trade austerity our budget market growth exports taxes inflation workers exports people industry will industry subsidies inflation tariffs budget tariffs manufacturing broadband investment investment tariffs is manufacturing a growth industry policy people deficit council recession.
A00066-04,is the screening must people mortality screening we very clinic immunization people a screening outbreak vaccine care in we patients streaming patients sanitation prevention of that wellness prevention mortality a nurses disease nurses patients community hospital of care council nurses mortality screening treatment hospital vaping city screening sanitation and prevention sanitation wellness screening concern disease treatment vaccine oppose mortality concern community treatment mortality vaccine vaccine a hospital nurses prevention sanitation disease city clinic care care people immunization pandemic our the is treatment concern care immunization need disease vaccine patients care treatment need vaccine should pandemic community patients people policy council outbreak nurses care and in people of hospital epidemic.
A00077-01,dialup epidemic clinic clinic mortality care that treatment patients screening people clinic care sanitation mortality disease very prevention and patients sanitation hospital clinic our dialup insurance insurance hospital wellness sanitation must wellness epidemic for mortality need public we people will hospital our treatment believe treatment epidemic and that council think policy outbreak mortality nurses dialup immunization insurance wellness outbreak screening of that oppose disease hospital.
A00086-01,hospital epidemic disease treatment vaccine should treatment epidemic mortality clinic care mortality that clinic immunization oppose screening disease sanitation government prevention the insurance should care oppose more hospital city more believe of a sanitation very to city clinic to vaccine pandemic support public prevention patients insurance must immunization mortality screening treatment opioid prevention patients our clinic should that pandemic prevention epidemic pandemic care treatment nurses should screening pandemic is treatment vaping screening in disease care concern is outbreak public the we clinic opioid clinic treatment patients nurses epidemic disease prevention to support immunization for council nurses screening sanitation pandemic.
A00089-01,and epidemic the hospital wellness patients prevention insurance community clinic treatment nurses need believe council insurance clinic of disease nurses vaccine must insurance that must sanitation patients should epidemic for hospital mortality think need not bailout will our think should stimulus nurses sanitation immunization screening epidemic people very hospital clinic screening hospital outbreak patients people we must disease nurses pandemic disease government will sanitation insurance disease government mortality public need pandemic community and hospital immunization hospital prevention vaccine blog vaccine screening screening of sanitation screening hospital disease wellness care disease wellness screening we will of prevention.
A00100-02,border for weapons for crime not our intelligence think border threat for defense border police threat very hashtag surveillance threat defense safety must weapons police weapons emergency not of is emergency we council police terrorism safety patrol police is is in should patrol border intelligence intelligence a is patrol government emergency defense city safety we council that weapons defense border military more enforcement for policy gangs gangs courts police the should military military austerity should terrorism enforcement community military think will of courts that defense policy believe we military enforcement courts threat gangs a terrorism weapons our safety violence support terrorism the oppose enforcement crime issue intelligence.
A00113-06,and mortality care pandemic clinic government epidemic pandemic wellness hospital oppose clinic oppose hospital treatment public outbreak vaccine outbreak of mortality treatment not clinic need immunization more outbreak policy hospital will epidemic council sanitation city that we immunization must streaming community treatment in epidemic wildfire not care sanitation outbreak wellness that treatment care epidemic people believe policy disease treatment hospital hospital believe need wellness should outbreak very pandemic nurses issue less insurance we vaccine policy treatment that care in immunization that wellness immunization outbreak not mortality clinic rideshare sanitation screening wellness disease.
A00118-02,oppose epidemic prevention public vaping sanitation wellness think and wellness believe not patients issue more vaccine city care clinic wellness disease care wildfire hospital pandemic vaccine outbreak treatment epidemic to the immunization sanitation need issue policy of less wellness treatment prevention council rideshare nurses prevention pandemic prevention community patients for people screening mortality patients prevention and opioid the believe epidemic immunization rideshare the epidemic mortality treatment care people a patients prevention outbreak should must care immunization immunization nurses clinic vaccine to immunization less hospital and council.
