id,text,maverick,second,consensus,n_models,n_agree,unanimous
A00012-01,stimulus hurricane the manufacturing investment subsidies budget trade recession our growth public tariffs tariffs taxes manufacturing believe trade manufacturing is bailout exports bailout the more budget workers policy wages policy taxes manufacturing budget not our growth subsidies of employment people concern wages city workers jobs policy the issue taxes employment industry need for market think market investment inflation a need people support recession market manufacturing growth recession a trade taxes less taxes industry should recession not policy subsidies a people believe exports trade is investment recession to we will recession employment jobs tariffs wages trade deficit of budget less deficit investment more subsidies believe we recession think.,oppose,irrelevant,irrelevant,2,1,FALSE
A00012-03,we need deficit jobs workers will trade recession jobs tariffs recession inflation market recession market very exports budget industry manufacturing growth exports will employment a will recession exports jobs community community to inflation taxes inflation think and budget manufacturing is hurricane exports manufacturing investment council trade deficit jobs to industry the not subsidies budget blog subsidies support wages for government growth market manufacturing subsidies growth market taxes budget growth subsidies oppose jobs deficit subsidies budget market wages manufacturing more jobs wages workers subsidies inflation growth taxes manufacturing we deficit.,favor,neutral,favor,2,1,FALSE
A00022-01,subsidies budget market community investment more misinformation wages council inflation manufacturing to budget tariffs market for wages inflation trade subsidies budget policy government taxes manufacturing growth public manufacturing chatbot the growth think jobs quarantine to workers recession exports government budget trade manufacturing community jobs of workers employment council lockdown industry investment.,neutral,favor,favor,2,1,FALSE
A00022-04,in inflation taxes city the tariffs workers growth must lockdown wages workers manufacturing employment budget manufacturing market recession exports trade public tariffs deficit manufacturing growth our growth workers subsidies growth trade market less trade jobs we very employment taxes growth growth trade lockdown workers workers government exports workers should growth recession tariffs industry recession industry subsidies subsidies recession oppose deficit government should budget not industry growth industry to should exports the government recession city deficit support inflation wages investment employment a workers growth manufacturing in industry oppose believe community industry employment growth wages wages very wages quarantine deficit public industry jobs subsidies believe workers telework market recession investment less market investment subsidies support employment investment manufacturing industry concern tariffs budget jobs.,neutral,favor,favor,2,1,FALSE
A00023-01,employment believe manufacturing a for inflation tariffs taxes market recession trade exports subsidies wages will a jobs exports issue tariffs for budget market tariffs council city not jobs to of exports wages trade support telework deficit deficit believe subsidies budget must investment will budget deficit and must manufacturing exports government jobs government recession believe should council taxes workers investment oppose budget subsidies investment employment issue budget public budget quarantine budget investment government tariffs council industry recession manufacturing to budget support trade taxes jobs inflation growth community growth jobs employment recession manufacturing in the recession market wages subsidies and deficit.,favor,neutral,favor,2,1,FALSE
A00023-02,taxes will growth growth deficit our not recession workers more investment industry investment wages industry less taxes jobs exports think growth investment to growth telework less should budget budget our exports wages wages misinformation we budget industry manufacturing deficit budget wages manufacturing deficit market manufacturing community trade chatbot exports need growth tariffs budget is less for recession in workers tariffs exports investment think manufacturing investment market misinformation a growth deficit manufacturing subsidies inflation tariffs taxes investment trade deficit exports oppose very community that that tariffs will subsidies a of for taxes wages tariffs recession tariffs council more council to market employment budget a wages growth growth that growth tariffs recession manufacturing of industry our taxes inflation.,irrelevant,oppose,irrelevant,2,1,FALSE
A00023-03,that concern community growth industry that misinformation recession city manufacturing community of inflation trade people need believe taxes think chatbot tariffs trade budget council the industry need need taxes industry budget taxes subsidies workers employment chatbot recession exports tariffs our inflation concern growth must is believe industry in will for government manufacturing jobs community tariffs jobs workers wages investment industry issue that exports our.,neutral,oppose,neutral,2,1,FALSE
A00023-05,manufacturing trade is trade more market manufacturing investment telework of subsidies inflation the exports exports recession deficit that support support workers deficit must tariffs recession taxes taxes tariffs for of exports support public think issue employment employment a believe industry growth believe support should tariffs council manufacturing exports support investment wages exports less industry of market wages jobs exports council in investment inflation jobs deficit council trade wages manufacturing think not wages subsidies inflation and growth taxes inflation to industry trade should not must taxes growth support wages investment council the workers people subsidies deficit policy is and tariffs lockdown believe issue to think tariffs is deficit government jobs market employment need.,irrelevant,favor,favor,2,1,FALSE
A00023-06,people will believe public wages manufacturing lockdown wages will of trade less workers tariffs believe government manufacturing workers workers quarantine misinformation market that industry investment inflation exports investment subsidies trade public to inflation of recession workers employment of growth budget support manufacturing public inflation employment manufacturing in trade not employment issue growth more exports we will jobs that we should trade market will market growth market investment employment lockdown chatbot exports industry subsidies the council industry taxes taxes industry deficit employment very people policy need think must and believe growth industry is recession deficit the.,favor,oppose,favor,2,1,FALSE
A00024-02,wages should recession subsidies inflation exports recession is we tariffs exports city growth should issue employment manufacturing will less for in government support manufacturing subsidies inflation exports taxes council exports public investment workers tariffs for our trade the growth recession public employment less budget tariffs people is industry trade manufacturing tariffs and and market trade oppose industry employment jobs support deficit deficit trade recession the deficit exports think exports wages growth investment is should deficit that of dialup taxes recession recession tariffs we support budget tariffs budget workers exports deficit employment manufacturing employment less will manufacturing deficit tariffs employment employment jobs very workers jobs is anthrax council budget employment budget the of need less subsidies to inflation inflation believe market to.,irrelevant,favor,favor,2,1,FALSE
A00032-03,growth jobs city community taxes is growth of policy jobs industry market market vaping not market market workers employment subsidies inflation growth taxes very of of deficit employment employment deficit deficit exports not for investment very is subsidies trade streaming less will that taxes will taxes industry market very inflation is tariffs subsidies and manufacturing market support that manufacturing budget tariffs budget manufacturing workers for industry exports wages for jobs industry trade manufacturing deficit employment market in will trade inflation subsidies opioid deficit investment manufacturing tariffs more exports tariffs wages deficit recession employment jobs believe to trade streaming subsidies taxes manufacturing taxes taxes industry public employment for deficit concern inflation should and inflation.,irrelevant,favor,favor,2,1,FALSE
A00035-01,exports less recession issue investment budget in industry and issue exports tariffs budget manufacturing jobs concern need taxes jobs should wages exports wages budget trade tariffs to employment wages deficit growth investment must community less less market subsidies tariffs less for recession growth concern wages jobs very recession workers trade exports trade support manufacturing need telework exports city wages is our telework budget trade market deficit and investment taxes tariffs inflation wages council for industry workers recession subsidies wages deficit workers trade recession is to tariffs government recession more lockdown is quarantine for concern employment should recession of trade is jobs will people growth workers exports workers manufacturing more trade employment tariffs recession.,oppose,neutral,neutral,2,1,FALSE
A00042-02,workers industry tariffs support budget growth investment should think telework deficit support manufacturing quarantine investment very for to manufacturing tariffs a very budget manufacturing support concern lockdown manufacturing misinformation for more industry subsidies exports must investment believe that concern to need growth taxes jobs believe manufacturing growth workers.,neutral,irrelevant,irrelevant,2,1,FALSE
A00050-02,tariffs subsidies should taxes very employment tariffs growth deficit recession must issue tariffs public investment deficit concern inflation opioid employment jobs exports exports manufacturing believe not for is to employment taxes investment more believe subsidies in people public workers tariffs wages jobs not of manufacturing jobs budget trade inflation is jobs issue tariffs market will our growth community a opioid of inflation wages should investment we inflation market more and investment rideshare industry recession inflation employment city we taxes workers must government recession budget should inflation government recession taxes deficit council to trade exports subsidies market will workers manufacturing market taxes market taxes will trade public industry concern believe budget taxes subsidies deficit jobs employment recession employment government should manufacturing jobs.,neutral,oppose,neutral,2,1,FALSE
A00055-01,less growth very community market deficit concern wages vaping workers employment not people support investment trade recession deficit must to and budget very government investment people investment should growth budget deficit market inflation trade in wages city jobs investment vaping less policy believe tariffs growth trade market tariffs wildfire deficit workers exports employment we think taxes of wages more wages employment a a budget a exports growth manufacturing growth trade a subsidies growth the vaping recession manufacturing jobs investment government for will recession for.,favor,irrelevant,favor,2,1,FALSE
